date,product,price_yuan,category,sales_count,revenue_wan
2026-04-16,无线蓝牙耳机 Pro,299,数码,697,20.84
2026-04-16,智能运动手环 X3,199,数码,577,11.48
2026-04-16,便携充电宝 20000mAh,89,数码,530,4.72
2026-04-16,机械键盘 RGB,349,数码,461,16.09
2026-04-16,护眼台灯 智能版,159,家居,412,6.55
2026-04-16,蓝牙音箱 Mini,129,数码,384,4.95
2026-04-16,手机支架 铝合金,39,配件,289,1.13
2026-04-16,Type-C 数据线套装,29,配件,270,0.78
2026-04-16,桌面收纳盒 多层,49,家居,218,1.07
2026-04-16,USB 扩展坞 7合1,199,数码,190,3.78
2026-04-16,不锈钢保温杯 500ml,79,家居,212,1.67
2026-04-16,电动牙刷 声波款,259,家居,158,4.09
2026-04-16,瑜伽垫 防滑加厚,69,运动,190,1.31
2026-04-16,智能体重秤,99,家居,120,1.19
2026-04-16,筋膜枪 迷你款,179,运动,118,2.11
2026-04-17,无线蓝牙耳机 Pro,299,数码,639,19.11
2026-04-17,智能运动手环 X3,199,数码,559,11.12
2026-04-17,便携充电宝 20000mAh,89,数码,530,4.72
2026-04-17,机械键盘 RGB,349,数码,415,14.48
2026-04-17,护眼台灯 智能版,159,家居,350,5.57
2026-04-17,蓝牙音箱 Mini,129,数码,312,4.02
2026-04-17,手机支架 铝合金,39,配件,288,1.12
2026-04-17,Type-C 数据线套装,29,配件,263,0.76
2026-04-17,桌面收纳盒 多层,49,家居,246,1.21
2026-04-17,USB 扩展坞 7合1,199,数码,167,3.32
2026-04-17,不锈钢保温杯 500ml,79,家居,182,1.44
2026-04-17,电动牙刷 声波款,259,家居,151,3.91
2026-04-17,瑜伽垫 防滑加厚,69,运动,127,0.88
2026-04-17,智能体重秤,99,家居,104,1.03
2026-04-17,筋膜枪 迷你款,179,运动,106,1.9
2026-04-18,无线蓝牙耳机 Pro,299,数码,802,23.98
2026-04-18,智能运动手环 X3,199,数码,650,12.94
2026-04-18,便携充电宝 20000mAh,89,数码,545,4.85
2026-04-18,机械键盘 RGB,349,数码,499,17.42
2026-04-18,护眼台灯 智能版,159,家居,499,7.93
2026-04-18,蓝牙音箱 Mini,129,数码,447,5.77
2026-04-18,手机支架 铝合金,39,配件,297,1.16
2026-04-18,Type-C 数据线套装,29,配件,321,0.93
2026-04-18,桌面收纳盒 多层,49,家居,259,1.27
2026-04-18,USB 扩展坞 7合1,199,数码,222,4.42
2026-04-18,不锈钢保温杯 500ml,79,家居,212,1.67
2026-04-18,电动牙刷 声波款,259,家居,177,4.58
2026-04-18,瑜伽垫 防滑加厚,69,运动,177,1.22
2026-04-18,智能体重秤,99,家居,125,1.24
2026-04-18,筋膜枪 迷你款,179,运动,122,2.18
2026-04-19,无线蓝牙耳机 Pro,299,数码,821,24.55
2026-04-19,智能运动手环 X3,199,数码,704,14.01
2026-04-19,便携充电宝 20000mAh,89,数码,622,5.54
2026-04-19,机械键盘 RGB,349,数码,473,16.51
2026-04-19,护眼台灯 智能版,159,家居,458,7.28
2026-04-19,蓝牙音箱 Mini,129,数码,434,5.6
2026-04-19,手机支架 铝合金,39,配件,391,1.52
2026-04-19,Type-C 数据线套装,29,配件,312,0.9
2026-04-19,桌面收纳盒 多层,49,家居,264,1.29
2026-04-19,USB 扩展坞 7合1,199,数码,227,4.52
2026-04-19,不锈钢保温杯 500ml,79,家居,203,1.6
2026-04-19,电动牙刷 声波款,259,家居,176,4.56
2026-04-19,瑜伽垫 防滑加厚,69,运动,189,1.3
2026-04-19,智能体重秤,99,家居,141,1.4
2026-04-19,筋膜枪 迷你款,179,运动,131,2.34
2026-04-20,无线蓝牙耳机 Pro,299,数码,634,18.96
2026-04-20,智能运动手环 X3,199,数码,597,11.88
2026-04-20,便携充电宝 20000mAh,89,数码,487,4.33
2026-04-20,机械键盘 RGB,349,数码,405,14.13
2026-04-20,护眼台灯 智能版,159,家居,366,5.82
2026-04-20,蓝牙音箱 Mini,129,数码,337,4.35
2026-04-20,手机支架 铝合金,39,配件,291,1.13
2026-04-20,Type-C 数据线套装,29,配件,277,0.8
2026-04-20,桌面收纳盒 多层,49,家居,219,1.07
2026-04-20,USB 扩展坞 7合1,199,数码,212,4.22
2026-04-20,不锈钢保温杯 500ml,79,家居,210,1.66
2026-04-20,电动牙刷 声波款,259,家居,140,3.63
2026-04-20,瑜伽垫 防滑加厚,69,运动,151,1.04
2026-04-20,智能体重秤,99,家居,107,1.06
2026-04-20,筋膜枪 迷你款,179,运动,110,1.97
2026-04-21,无线蓝牙耳机 Pro,299,数码,740,22.13
2026-04-21,智能运动手环 X3,199,数码,650,12.94
2026-04-21,便携充电宝 20000mAh,89,数码,571,5.08
2026-04-21,机械键盘 RGB,349,数码,426,14.87
2026-04-21,护眼台灯 智能版,159,家居,392,6.23
2026-04-21,蓝牙音箱 Mini,129,数码,342,4.41
2026-04-21,手机支架 铝合金,39,配件,313,1.22
